,Airline,Source,Destination,Route,Total_Stops,Additional_Info,Price,day,month,dep_hr,dep_min,arr_hr,arr_min,duration
2667,IndiGo,Kolkata,Banglore,CCU ? BLR,non-stop,No info,4804,5,1,20,20,22,55,0 days 02:35:00
2668,Air India,Kolkata,Banglore,CCU ? BOM ? GOI ? BLR,2 stops,No info,11642,5,12,9,25,5,35,0 days 20:10:00
2669,IndiGo,Banglore,Delhi,BLR ? DEL,non-stop,No info,3419,18,6,0,25,3,15,0 days 02:50:00
2670,IndiGo,Kolkata,Banglore,CCU ? RPR ? HYD ? BLR,2 stops,No info,6103,21,5,6,35,12,10,0 days 05:35:00
2671,Air India,Kolkata,Banglore,CCU ? DEL ? COK ? BLR,2 stops,No info,13033,5,9,7,0,1,20,0 days 18:20:00
2672,Jet Airways,Banglore,New Delhi,BLR ? BOM ? JDH ? DEL,2 stops,In-flight meal not included,11245,18,3,8,55,15,55,0 days 07:00:00
2673,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,In-flight meal not included,10056,4,1,6,30,12,0,0 days 05:30:00
2674,Jet Airways,Kolkata,Banglore,CCU ? DEL ? BLR,1 stop,In-flight meal not included,10539,6,6,20,25,14,25,0 days 18:00:00
2675,IndiGo,Chennai,Kolkata,MAA ? CCU,non-stop,No info,5277,18,3,22,5,0,25,0 days 02:20:00
2676,Air India,Kolkata,Banglore,CCU ? DEL ? BLR,1 stop,No info,11936,21,5,10,0,23,15,0 days 13:15:00
2677,Jet Airways,Delhi,Cochin,DEL ? JAI ? BOM ? COK,2 stops,No info,13014,6,9,5,30,4,25,0 days 22:55:00
2678,Vistara,Kolkata,Banglore,CCU ? DEL ? BLR,1 stop,No info,8820,6,6,17,0,20,20,1 days 03:20:00
2679,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,1 stop,In-flight meal not included,12373,5,9,15,0,12,35,0 days 21:35:00
2680,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,1 stop,In-flight meal not included,10262,6,1,9,0,12,35,1 days 03:35:00
2681,Jet Airways,Mumbai,Hyderabad,BOM ? HYD,non-stop,In-flight meal not included,4995,6,3,7,5,8,30,0 days 01:25:00
2682,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,1 stop,In-flight meal not included,7438,27,3,21,50,19,45,0 days 21:55:00
2683,IndiGo,Kolkata,Banglore,CCU ? BLR,non-stop,No info,4148,21,3,5,30,8,20,0 days 02:50:00
2684,IndiGo,Chennai,Kolkata,MAA ? CCU,non-stop,No info,3597,27,5,14,45,17,5,0 days 02:20:00
2685,Air Asia,Kolkata,Banglore,CCU ? DEL ? BLR,1 stop,No info,5192,5,1,7,35,23,30,0 days 15:55:00
2686,Jet Airways,Banglore,New Delhi,BLR ? BOM ? DEL,1 stop,No info,16736,3,6,8,0,20,20,0 days 12:20:00
2687,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,7933,6,1,13,0,21,0,0 days 08:00:00
2688,Air India,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,8879,18,5,8,0,19,15,0 days 11:15:00
2689,IndiGo,Delhi,Cochin,DEL ? COK,non-stop,No info,5000,5,12,14,25,17,40,0 days 03:15:00
2690,Vistara,Kolkata,Banglore,CCU ? DEL ? BLR,1 stop,No info,8137,5,6,17,0,9,5,0 days 16:05:00
2691,Air India,Delhi,Cochin,DEL ? CCU ? BOM ? COK,2 stops,No info,22096,3,9,16,55,19,15,1 days 02:20:00
2692,SpiceJet,Banglore,New Delhi,BLR ? DEL,non-stop,No check-in baggage included,4273,24,3,5,45,8,35,0 days 02:50:00
2693,Jet Airways,Banglore,New Delhi,BLR ? BOM ? DEL,1 stop,No info,35185,3,1,18,40,0,45,0 days 06:05:00
2694,IndiGo,Kolkata,Banglore,CCU ? BBI ? BLR,1 stop,No info,4226,15,4,19,35,23,15,0 days 03:40:00
2695,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,In-flight meal not included,10844,5,1,8,25,16,20,0 days 07:55:00
2696,IndiGo,Mumbai,Hyderabad,BOM ? HYD,non-stop,No info,2754,6,12,12,0,13,30,0 days 01:30:00
2697,IndiGo,Kolkata,Banglore,CCU ? VTZ ? BLR,1 stop,No info,6301,6,6,10,30,16,5,0 days 05:35:00
2698,Air India,Kolkata,Banglore,CCU ? BOM ? COK ? BLR,2 stops,No info,13222,18,5,9,25,13,45,1 days 04:20:00
2699,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,1 stop,In-flight meal not included,12898,21,5,17,30,12,35,0 days 19:05:00
2700,Air India,Banglore,New Delhi,BLR ? BOM ? DEL,1 stop,No info,12127,3,12,6,45,20,35,0 days 13:50:00
2701,Jet Airways,Kolkata,Banglore,CCU ? DEL ? BLR,1 stop,No info,13067,21,5,20,25,22,5,1 days 01:40:00
2702,Air India,Kolkata,Banglore,CCU ? GAU ? DEL ? BLR,2 stops,No info,9920,4,1,16,45,20,25,1 days 03:40:00
2703,GoAir,Banglore,Delhi,BLR ? DEL,non-stop,No info,4239,4,1,7,45,10,40,0 days 02:55:00
2704,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,14714,6,6,21,50,19,0,0 days 21:10:00
2705,IndiGo,Kolkata,Banglore,CCU ? NAG ? BLR,1 stop,No info,6218,5,6,18,5,23,30,0 days 05:25:00
2706,IndiGo,Chennai,Kolkata,MAA ? CCU,non-stop,No info,7295,3,1,5,15,7,35,0 days 02:20:00
2707,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,7408,6,9,3,50,11,30,0 days 07:40:00
2708,Jet Airways,Kolkata,Banglore,CCU ? DEL ? BLR,1 stop,In-flight meal not included,13994,6,9,9,35,18,0,0 days 08:25:00
2709,IndiGo,Kolkata,Banglore,CCU ? BLR,non-stop,No info,5224,15,5,14,25,16,55,0 days 02:30:00
2710,SpiceJet,Mumbai,Hyderabad,BOM ? HYD,non-stop,No info,4391,3,9,5,45,7,5,0 days 01:20:00
2711,Air India,Kolkata,Banglore,CCU ? DEL ? AMD ? BLR,2 stops,No info,14109,18,5,10,0,5,25,0 days 19:25:00
2712,SpiceJet,Banglore,Delhi,BLR ? DEL,non-stop,No check-in baggage included,4885,27,4,9,30,12,20,0 days 02:50:00
2713,Jet Airways,Banglore,Delhi,BLR ? DEL,non-stop,No info,8016,6,1,8,20,11,20,0 days 03:00:00
2714,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,12524,24,6,6,0,12,35,0 days 06:35:00
2715,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,1 stop,In-flight meal not included,6017,27,3,2,15,18,50,0 days 16:35:00
2716,Air India,Delhi,Cochin,DEL ? GOI ? BOM ? COK,2 stops,No info,10441,5,9,22,0,19,15,0 days 21:15:00
2717,SpiceJet,Banglore,Delhi,BLR ? DEL,non-stop,No info,3625,4,1,21,10,0,5,0 days 02:55:00
2718,Air India,Delhi,Cochin,DEL ? RPR ? NAG ? BOM ? COK,3 stops,No info,15586,3,9,5,15,19,15,1 days 14:00:00
2719,Air India,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,7199,27,3,8,0,19,15,0 days 11:15:00
2720,Jet Airways,Delhi,Cochin,DEL ? IXC ? BOM ? COK,2 stops,No info,12273,21,3,6,20,4,25,0 days 22:05:00
2721,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,7530,6,6,19,0,1,30,0 days 06:30:00
2722,Jet Airways,Mumbai,Hyderabad,BOM ? HYD,non-stop,No info,5678,21,5,19,35,21,5,0 days 01:30:00
2723,Air India,Delhi,Cochin,DEL ? GOI ? BOM ? COK,2 stops,No info,11753,24,6,10,55,7,40,0 days 20:45:00
2724,SpiceJet,Mumbai,Hyderabad,BOM ? HYD,non-stop,No check-in baggage included,1965,21,5,22,45,0,15,0 days 01:30:00
2725,IndiGo,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,10208,21,3,6,40,13,20,0 days 06:40:00
2726,IndiGo,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,5054,21,5,20,25,1,30,0 days 05:05:00
2727,IndiGo,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,14871,3,3,8,25,15,30,0 days 07:05:00
2728,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,1 stop,In-flight meal not included,12373,18,5,7,5,19,0,0 days 11:55:00
2729,SpiceJet,Mumbai,Hyderabad,BOM ? HYD,non-stop,No info,2017,15,6,22,45,0,15,0 days 01:30:00
2730,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,In-flight meal not included,10661,24,3,13,55,4,45,0 days 14:50:00
2731,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,9794,5,9,10,20,19,0,0 days 08:40:00
2732,Jet Airways,Kolkata,Banglore,CCU ? DEL ? BLR,1 stop,No info,13067,5,9,20,25,23,35,1 days 03:10:00
2733,SpiceJet,Chennai,Kolkata,MAA ? CCU,non-stop,No info,7298,3,3,17,45,20,5,0 days 02:20:00
2734,IndiGo,Banglore,New Delhi,BLR ? DEL,non-stop,No info,7648,3,3,10,5,13,0,0 days 02:55:00
2735,Air India,Kolkata,Banglore,CCU ? BBI ? BOM ? BLR,2 stops,No info,10676,5,12,12,0,21,50,0 days 09:50:00
2736,Air India,Banglore,Delhi,BLR ? DEL,non-stop,No info,6961,6,3,10,0,12,45,0 days 02:45:00
2737,IndiGo,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,6979,15,5,11,25,1,30,0 days 14:05:00
2738,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,13587,27,5,9,0,21,0,0 days 12:00:00
2739,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,In-flight meal not included,10844,24,5,14,5,23,35,0 days 09:30:00
2740,IndiGo,Banglore,Delhi,BLR ? DEL,non-stop,No info,3943,5,12,10,10,13,0,0 days 02:50:00
2741,IndiGo,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,6838,6,12,9,15,21,0,0 days 11:45:00
2742,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,1 stop,In-flight meal not included,6542,15,4,13,0,19,0,0 days 06:00:00
2743,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,1 stop,In-flight meal not included,12239,21,5,7,5,19,0,0 days 11:55:00
2744,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,No info,14388,5,12,16,30,4,40,0 days 12:10:00
2745,IndiGo,Kolkata,Banglore,CCU ? BLR,non-stop,No info,4148,3,12,5,30,8,20,0 days 02:50:00
2746,Multiple carriers,Delhi,Cochin,DEL ? IDR ? BOM ? COK,2 stops,No info,16840,18,5,15,5,1,30,0 days 10:25:00
2747,Multiple carriers,Delhi,Cochin,DEL ? HYD ? COK,1 stop,No info,9646,6,3,9,45,22,30,0 days 12:45:00
2748,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,No info,14571,6,9,21,10,18,15,0 days 21:05:00
2749,IndiGo,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,7923,15,5,16,0,1,30,0 days 09:30:00
2750,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,In-flight meal not included,8586,5,12,20,0,4,40,0 days 08:40:00
2751,Multiple carriers,Delhi,Cochin,DEL ? HYD ? COK,1 stop,No info,9646,6,3,13,15,22,30,0 days 09:15:00
2752,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,No info,14388,18,5,14,5,12,0,0 days 21:55:00
2753,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,No info,13044,6,12,16,30,16,20,0 days 23:50:00
2754,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,10197,21,5,10,0,19,0,0 days 09:00:00
2755,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,14714,6,1,19,45,19,0,0 days 23:15:00
2756,Air India,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,9929,6,1,10,0,19,15,0 days 09:15:00
2757,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,1 stop,In-flight meal not included,6017,21,3,22,50,4,25,0 days 05:35:00
2758,SpiceJet,Chennai,Kolkata,MAA ? CCU,non-stop,No info,3597,27,6,9,45,12,0,0 days 02:15:00
2759,Air India,Delhi,Cochin,DEL ? BLR ? COK,1 stop,No info,5704,21,3,13,30,23,0,0 days 09:30:00
2760,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,14714,6,3,19,45,4,25,0 days 08:40:00
2761,Air India,Banglore,Delhi,BLR ? DEL,non-stop,No info,5228,5,12,10,0,12,45,0 days 02:45:00
2762,Jet Airways,Kolkata,Banglore,CCU ? DEL ? BLR,1 stop,No info,11467,4,1,9,35,10,55,1 days 01:20:00
2763,Vistara,Banglore,Delhi,BLR ? DEL,non-stop,No info,4668,6,6,9,45,12,35,0 days 02:50:00
2764,IndiGo,Banglore,Delhi,BLR ? DEL,non-stop,No info,4591,18,4,21,15,0,15,0 days 03:00:00
2765,IndiGo,Banglore,Delhi,BLR ? DEL,non-stop,No info,3943,5,12,21,15,0,15,0 days 03:00:00
2766,Air India,Banglore,Delhi,BLR ? DEL,non-stop,No info,5228,21,4,10,0,12,45,0 days 02:45:00
2767,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,12242,27,3,2,15,18,50,0 days 16:35:00
2768,Air India,Delhi,Cochin,DEL ? HYD ? MAA ? COK,2 stops,No info,11185,6,9,7,5,9,25,1 days 02:20:00
2769,IndiGo,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,6573,4,9,9,15,1,30,0 days 16:15:00
2770,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,No info,14781,15,5,16,30,22,35,0 days 06:05:00
2771,Air India,Kolkata,Banglore,CCU ? GAU ? DEL ? BLR,2 stops,No info,14960,6,12,16,45,8,55,0 days 16:10:00
2772,IndiGo,Chennai,Kolkata,MAA ? CCU,non-stop,No info,4332,15,5,11,35,14,0,0 days 02:25:00
2773,Air Asia,Banglore,New Delhi,BLR ? DEL,non-stop,No info,7652,3,3,5,50,8,40,0 days 02:50:00
2774,Jet Airways,Kolkata,Banglore,CCU ? DEL ? BLR,1 stop,No info,14151,24,5,9,35,21,5,0 days 11:30:00
2775,SpiceJet,Banglore,Delhi,BLR ? DEL,non-stop,No check-in baggage included,4319,6,12,9,30,12,20,0 days 02:50:00
2776,Jet Airways,Delhi,Cochin,DEL ? AMD ? BOM ? COK,2 stops,No info,10929,21,3,19,10,18,50,0 days 23:40:00
2777,Air India,Kolkata,Banglore,CCU ? DEL ? VGA ? BLR,2 stops,No info,11491,24,3,7,0,10,0,1 days 03:00:00
2778,IndiGo,Delhi,Cochin,DEL ? COK,non-stop,No info,6015,18,4,14,20,17,35,0 days 03:15:00
2779,Jet Airways,Kolkata,Banglore,CCU ? DEL ? BLR,1 stop,No info,12692,6,12,9,35,21,5,0 days 11:30:00
2780,Air Asia,Kolkata,Banglore,CCU ? BLR,non-stop,No info,4384,3,9,22,50,1,20,0 days 02:30:00
2781,IndiGo,Banglore,Delhi,BLR ? DEL,non-stop,No info,3943,6,3,6,5,8,50,0 days 02:45:00
2782,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,1 stop,In-flight meal not included,12373,18,5,9,0,19,0,0 days 10:00:00
2783,Jet Airways,Banglore,New Delhi,BLR ? BOM ? DEL,1 stop,No info,19225,3,6,8,0,13,15,0 days 05:15:00
2784,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,1 stop,In-flight meal not included,14053,3,9,19,45,18,50,0 days 23:05:00
2785,Air India,Banglore,Delhi,BLR ? DEL,non-stop,No info,5911,4,12,13,20,16,10,0 days 02:50:00
2786,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,10877,6,9,6,40,19,0,0 days 12:20:00
2787,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,In-flight meal not included,7757,6,6,18,55,4,40,0 days 09:45:00
2788,IndiGo,Delhi,Cochin,DEL ? HYD ? COK,1 stop,No info,6558,21,3,7,35,16,10,0 days 08:35:00
2789,IndiGo,Kolkata,Banglore,CCU ? BLR,non-stop,No info,4804,21,4,9,35,12,20,0 days 02:45:00
2790,Jet Airways,Mumbai,Hyderabad,BOM ? HYD,non-stop,No info,5678,18,3,15,50,17,20,0 days 01:30:00
2791,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,1 stop,In-flight meal not included,12373,5,9,10,0,4,25,0 days 18:25:00
2792,Jet Airways,Banglore,Delhi,BLR ? DEL,non-stop,In-flight meal not included,5198,5,6,6,0,8,45,0 days 02:45:00
2793,IndiGo,Kolkata,Banglore,CCU ? BLR,non-stop,No info,6064,6,1,14,25,16,55,0 days 02:30:00
2794,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,15029,3,9,21,50,4,25,0 days 06:35:00
2795,Jet Airways,Delhi,Cochin,DEL ? JAI ? BOM ? COK,2 stops,No info,10909,4,9,5,30,19,0,0 days 13:30:00
2796,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,18492,3,9,8,40,19,45,0 days 11:05:00
2797,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,1 stop,In-flight meal not included,10262,24,6,2,15,4,25,1 days 02:10:00
2798,Jet Airways,Kolkata,Banglore,CCU ? GAU ? BLR,1 stop,No info,8781,18,5,11,50,17,35,0 days 05:45:00
2799,IndiGo,Delhi,Cochin,DEL ? HYD ? COK,1 stop,No info,6442,27,5,8,35,16,10,0 days 07:35:00
2800,Jet Airways,Mumbai,Hyderabad,BOM ? DEL ? HYD,1 stop,No info,20120,3,12,9,50,16,35,0 days 06:45:00
2801,Vistara,Banglore,Delhi,BLR ? DEL,non-stop,No info,4878,27,5,19,30,22,15,0 days 02:45:00
2802,Jet Airways,Banglore,New Delhi,BLR ? BOM ? DEL,1 stop,No info,16736,3,6,5,45,18,25,0 days 12:40:00
2803,SpiceJet,Kolkata,Banglore,CCU ? IXB ? BLR,1 stop,No info,9630,24,5,11,15,18,30,0 days 07:15:00
2804,Vistara,Kolkata,Banglore,CCU ? DEL ? BLR,1 stop,No info,8610,5,9,7,10,18,50,0 days 11:40:00
2805,Vistara,Chennai,Kolkata,MAA ? CCU,non-stop,No info,3687,27,6,7,5,9,20,0 days 02:15:00
2806,Vistara,Kolkata,Banglore,CCU ? DEL ? BLR,1 stop,No info,8452,15,5,20,20,9,5,0 days 12:45:00
2807,IndiGo,Banglore,Delhi,BLR ? DEL,non-stop,No info,3943,18,5,10,30,13,20,0 days 02:50:00
2808,IndiGo,Mumbai,Hyderabad,BOM ? HYD,non-stop,No info,3342,15,3,6,20,7,45,0 days 01:25:00
2809,Jet Airways,Kolkata,Banglore,CCU ? DEL ? BLR,1 stop,No info,13067,5,12,20,25,14,25,0 days 18:00:00
2810,Vistara,Banglore,Delhi,BLR ? DEL,non-stop,No info,4878,5,6,19,30,22,15,0 days 02:45:00
2811,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,No info,14388,5,9,21,10,10,5,0 days 12:55:00
2812,Jet Airways,Delhi,Cochin,DEL ? AMD ? BOM ? COK,2 stops,No info,16704,27,5,13,25,4,25,0 days 15:00:00
2813,Air India,Mumbai,Hyderabad,BOM ? HYD,non-stop,No info,3100,21,5,19,30,20,45,0 days 01:15:00
2814,Air India,Banglore,New Delhi,BLR ? BOM ? IDR ? GWL ? DEL,3 stops,No info,13387,3,12,17,25,18,5,1 days 00:40:00
2815,IndiGo,Mumbai,Hyderabad,BOM ? HYD,non-stop,No info,4049,6,9,9,10,10,40,0 days 01:30:00
2816,Jet Airways,Delhi,Cochin,DEL ? JAI ? BOM ? COK,2 stops,In-flight meal not included,13029,18,5,5,30,19,0,0 days 13:30:00
2817,SpiceJet,Banglore,Delhi,BLR ? DEL,non-stop,No check-in baggage included,3919,4,9,21,10,0,5,0 days 02:55:00
2818,IndiGo,Chennai,Kolkata,MAA ? CCU,non-stop,No info,3850,5,3,5,15,7,40,0 days 02:25:00
2819,Air India,Delhi,Cochin,DEL ? HYD ? MAA ? COK,2 stops,No info,8839,24,6,13,15,9,25,0 days 20:10:00
2820,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,In-flight meal not included,7064,4,1,16,30,4,40,0 days 12:10:00
2821,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,No info,13941,5,12,20,0,8,15,0 days 12:15:00
2822,Air India,Kolkata,Banglore,CCU ? DEL ? COK ? TRV ? BLR,3 stops,No info,13007,24,5,10,0,10,30,1 days 00:30:00
2823,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,No info,14781,18,5,14,5,22,35,0 days 08:30:00
2824,Jet Airways,Mumbai,Hyderabad,BOM ? HYD,non-stop,In-flight meal not included,2071,18,3,19,35,21,5,0 days 01:30:00
2825,Jet Airways,Delhi,Cochin,DEL ? COK,non-stop,In-flight meal not included,4256,21,6,11,0,14,15,0 days 03:15:00
2826,Vistara,Banglore,New Delhi,BLR ? DEL,non-stop,No info,7923,3,9,16,0,18,35,0 days 02:35:00
2827,Air Asia,Kolkata,Banglore,CCU ? BLR,non-stop,No info,3782,15,3,22,50,1,20,0 days 02:30:00
2828,Jet Airways,Kolkata,Banglore,CCU ? DEL ? BLR,1 stop,In-flight meal not included,12384,15,5,20,25,9,45,0 days 13:20:00
2829,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,1 stop,In-flight meal not included,8565,21,3,10,0,1,35,0 days 15:35:00
2830,IndiGo,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,6232,21,3,16,0,21,0,0 days 05:00:00
2831,IndiGo,Banglore,New Delhi,BLR ? DEL,non-stop,No info,4777,3,9,5,30,8,20,0 days 02:50:00
2832,Air India,Kolkata,Banglore,CCU ? BLR,non-stop,No info,4145,6,1,20,45,23,20,0 days 02:35:00
2833,Air Asia,Kolkata,Banglore,CCU ? DEL ? BLR,1 stop,No info,5192,15,5,22,40,10,40,0 days 12:00:00
2834,Air India,Delhi,Cochin,DEL ? COK,non-stop,No info,4729,4,1,5,10,8,0,0 days 02:50:00
2835,IndiGo,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,6093,6,3,6,40,21,0,0 days 14:20:00
2836,Air India,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,No info,8891,5,1,9,25,18,30,0 days 09:05:00
2837,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,12242,27,3,16,0,4,25,0 days 12:25:00
2838,Jet Airways,Kolkata,Banglore,CCU ? DEL ? BLR,1 stop,No info,11467,5,1,17,0,18,0,1 days 01:00:00
2839,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,No info,14781,21,5,21,10,9,20,0 days 12:10:00
2840,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,10197,18,5,7,0,19,0,0 days 12:00:00
2841,Jet Airways,Banglore,New Delhi,BLR ? BOM ? DEL,1 stop,No info,17261,3,6,21,25,9,30,0 days 12:05:00
2842,Air India,Delhi,Cochin,DEL ? MAA ? COK,1 stop,No info,7480,5,1,20,40,9,25,0 days 12:45:00
2843,IndiGo,Kolkata,Banglore,CCU ? BLR,non-stop,No info,4804,21,5,15,30,18,5,0 days 02:35:00
2844,SpiceJet,Kolkata,Banglore,CCU ? BLR,non-stop,No check-in baggage included,4439,21,4,9,0,11,25,0 days 02:25:00
2845,Jet Airways,Delhi,Cochin,DEL ? JAI ? BOM ? COK,2 stops,In-flight meal not included,10368,6,6,5,30,4,25,0 days 22:55:00
2846,SpiceJet,Delhi,Cochin,DEL ? MAA ? COK,1 stop,No info,6065,21,3,6,10,11,20,0 days 05:10:00
2847,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,In-flight meal not included,8586,24,5,18,55,4,40,0 days 09:45:00
2848,IndiGo,Delhi,Cochin,DEL ? COK,non-stop,No info,5406,18,3,14,30,17,35,0 days 03:05:00
2849,Jet Airways,Delhi,Cochin,DEL ? BDQ ? BOM ? COK,2 stops,In-flight meal not included,12142,6,6,18,25,4,25,0 days 10:00:00
2850,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,14714,6,6,2,15,12,35,0 days 10:20:00
2851,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,1 stop,In-flight meal not included,10262,15,6,2,15,4,25,1 days 02:10:00
2852,Air India,Banglore,New Delhi,BLR ? MAA ? DEL,1 stop,No info,15434,3,6,11,50,23,55,0 days 12:05:00
2853,Air India,Kolkata,Banglore,CCU ? BBI ? BOM ? BLR,2 stops,No info,10676,18,5,12,0,11,10,0 days 23:10:00
2854,IndiGo,Kolkata,Banglore,CCU ? BLR,non-stop,No info,4804,21,4,20,20,22,55,0 days 02:35:00
2855,Jet Airways,Delhi,Cochin,DEL ? JAI ? BOM ? COK,2 stops,No info,13014,6,9,19,30,12,35,0 days 17:05:00
2856,IndiGo,Banglore,Delhi,BLR ? DEL,non-stop,No info,3943,5,3,10,10,13,0,0 days 02:50:00
2857,Air India,Mumbai,Hyderabad,BOM ? COK ? MAA ? HYD,2 stops,No info,9678,3,6,5,30,22,0,0 days 16:30:00
2858,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,No info,14781,15,5,8,25,19,50,0 days 11:25:00
2859,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,10197,15,5,9,0,19,0,0 days 10:00:00
2860,Air India,Delhi,Cochin,DEL ? BHO ? BOM ? COK,2 stops,No info,10861,5,9,5,55,19,15,0 days 13:20:00
2861,Jet Airways,Kolkata,Banglore,CCU ? BOM ? BLR,1 stop,In-flight meal not included,10844,5,1,21,10,4,40,0 days 07:30:00
2862,Air India,Delhi,Cochin,DEL ? MAA ? COK,1 stop,No info,7480,21,5,17,20,9,25,0 days 16:05:00
2863,IndiGo,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,5684,24,6,17,10,1,30,0 days 08:20:00
2864,Jet Airways,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,14714,6,6,16,0,19,0,1 days 03:00:00
2865,Jet Airways,Kolkata,Banglore,CCU ? DEL ? BLR,1 stop,In-flight meal not included,9314,4,1,9,35,18,0,0 days 08:25:00
2866,Air India,Kolkata,Banglore,CCU ? BLR,non-stop,No info,4435,15,3,20,45,23,20,0 days 02:35:00
2867,Multiple carriers,Delhi,Cochin,DEL ? BOM ? COK,1 stop,No info,11789,27,6,7,30,19,0,0 days 11:30:00
2868,SpiceJet,Banglore,Delhi,BLR ? DEL,non-stop,No check-in baggage included,3919,4,3,21,10,0,5,0 days 02:55:00
2869,Jet Airways,Banglore,Delhi,BLR ? DEL,non-stop,In-flight meal not included,5198,4,6,15,15,18,10,0 days 02:55:00
2870,SpiceJet,Banglore,New Delhi,BLR ? DEL,non-stop,No check-in baggage included,4273,24,3,5,45,8,35,0 days 02:50:00
2871,Vistara,Kolkata,Banglore,CCU ? DEL ? BLR,1 stop,No info,8820,5,9,17,0,18,50,1 days 01:50:00
2872,IndiGo,Mumbai,Hyderabad,BOM ? HYD,non-stop,No info,2754,5,6,12,0,13,30,0 days 01:30:00
2873,Vistara,Kolkata,Banglore,CCU ? DEL ? BLR,1 stop,No info,8085,6,9,20,20,23,25,1 days 03:05:00
2874,Jet Airways,Kolkata,Banglore,CCU ? DEL ? BLR,1 stop,In-flight meal not included,10539,6,9,20,25,21,5,1 days 00:40:00
